The number of Constituents of vertex 0: is 56
    GenPart 180 pt: 0.172379, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 181 pt: 0.0694343, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 182 pt: 0.1205, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 183 pt: 0.0861109, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 184 pt: 0.789719, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 185 pt: 0.282574, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 186 pt: 0.412367, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 187 pt: 0.396098, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 188 pt: 0.201953, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 189 pt: 0.135768, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 190 pt: 0.228419, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 191 pt: 0.541894, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 192 pt: 0.14991, z: -90.0038, t: 4.6707e-11, PID: 2212, Status: 1, PU: 1
    GenPart 193 pt: 0.373776, z: -144.511, t: 2.28192e-10, PID: -2212, Status: 1, PU: 1
    GenPart 194 pt: 0.397133, z: -278.585, t: 6.84181e-10, PID: -211, Status: 1, PU: 1
    GenPart 195 pt: 0.695277, z: -440.712, t: 1.24249e-09, PID: 211, Status: 1, PU: 1
    GenPart 196 pt: 0.354849, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 197 pt: 0.100292, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
